municipality_code,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,confidence
080522,0.00955,0.016,0.0498,0.303,0.636,0.76,2.39,2.85,3.22,2.16,0.841,0.0398,low
080538,0.0351,0.0584,0.182,1.1,2.35,2.78,8.32,9.12,10.2,7.08,2.78,0.145,high
080543,0.0248,0.0413,0.129,0.791,1.73,2.1,6.15,6.93,8.06,5.41,2.04,0.103,high
080556,0.0234,0.039,0.122,0.743,1.6,1.91,6.41,7.19,8.08,5.24,2,0.0971,high
080569,0.0674,0.112,0.348,2.08,4.68,5.79,14.5,16.3,19.1,13.5,5.27,0.278,high
080575,0.0115,0.0192,0.06,0.366,0.773,0.916,2.99,3.54,4.01,2.63,1.02,0.048,low
080581,0.00783,0.0131,0.0409,0.26,0.576,0.696,2.33,2.59,3.26,2.1,0.717,0.0326,high
080594,0.022,0.0368,0.115,0.718,1.56,1.88,6.16,7,7.96,5.26,1.94,0.0917,medium
080608,0.0055,0.00918,0.0287,0.179,0.382,0.461,1.56,1.82,2.09,1.34,0.493,0.0229,low
080615,0.078,0.129,0.394,2.12,4.09,4.69,11.4,12.5,13.8,10.2,4.56,0.313,medium
080620,0.396,0.573,1.09,2.3,3.29,3.58,7.37,8.15,8.83,6.59,3.55,0.9,medium
080636,0.0153,0.0255,0.0798,0.502,1.1,1.32,4.49,5.05,5.84,3.78,1.36,0.0636,high
080641,0.0363,0.0604,0.186,1.07,2.18,2.55,7.55,8.35,9.32,6.32,2.6,0.148,high
080654,0.00621,0.0104,0.0324,0.206,0.453,0.549,1.92,2.13,2.63,1.65,0.567,0.0259,medium
080667,0.0549,0.0913,0.282,1.63,3.38,4.01,9.89,10.9,12.2,8.86,3.76,0.225,high
080673,0.0369,0.0615,0.191,1.13,2.34,2.77,8.08,8.95,9.82,6.83,2.83,0.152,high
080689,0.0521,0.0864,0.262,1.43,2.94,3.51,8.93,9.95,11.5,8.11,3.29,0.209,high
080692,0.0805,0.134,0.406,2.17,4.22,4.83,11.7,12.6,13.9,10.4,4.65,0.322,high
080706,0.0254,0.0424,0.132,0.812,1.75,2.11,7.12,8.04,8.97,5.81,2.21,0.106,medium
080713,0.00913,0.0152,0.0477,0.297,0.64,0.776,2.6,3,3.46,2.23,0.819,0.0381,low
080728,0.119,0.198,0.607,3.37,6.87,8.11,18.3,19.9,22.1,16.8,7.44,0.483,high
080734,0.0271,0.0451,0.141,0.887,2.05,2.53,7.38,8.47,10.4,6.92,2.43,0.113,high
080749,0.088,0.146,0.446,2.48,4.99,5.78,13,14,16.4,12.6,5.47,0.355,high
080752,0.0227,0.0378,0.118,0.728,1.65,1.96,5.7,6.38,7.56,5.11,1.88,0.0939,high
080765,0.048,0.0799,0.248,1.48,3.13,3.72,10.3,11.4,12.7,8.98,3.62,0.197,high
080771,0.0725,0.121,0.374,2.22,4.8,5.72,14.3,15.9,18.8,13.6,5.39,0.298,high
080787,0.0104,0.0174,0.0544,0.336,0.722,0.85,2.91,3.4,3.89,2.47,0.925,0.0434,medium
080790,0.0241,0.0403,0.126,0.774,1.68,2.02,6.73,7.79,8.56,5.55,2.1,0.1,low
080804,0.0102,0.017,0.053,0.322,0.675,0.772,2.5,2.95,3.45,2.31,0.899,0.0423,medium
080811,0.058,0.0965,0.299,1.75,3.71,4.54,13.5,15.1,16.5,11.1,4.44,0.238,high
080826,0.02,0.0332,0.104,0.654,1.45,1.72,5.29,6.13,7.15,4.69,1.73,0.0828,high
080832,0.0257,0.0428,0.134,0.814,1.75,2.15,6.73,7.77,8.48,5.61,2.17,0.107,high
080847,0.0211,0.0351,0.109,0.652,1.37,1.63,5.08,5.82,6.48,4.36,1.68,0.0868,medium
080850,0.0108,0.0179,0.0561,0.35,0.763,0.928,3.1,3.47,4.06,2.61,0.945,0.0448,medium
080863,0.114,0.188,0.555,2.7,5.16,5.87,13.8,14.8,16.7,12.3,5.55,0.439,high
080879,0.0219,0.0366,0.114,0.707,1.54,1.85,6.3,7.04,7.99,5.13,1.92,0.0913,medium
080885,0.103,0.17,0.519,2.78,5.44,6.33,15.3,16.4,17.8,13.2,6.04,0.412,high
080898,0.0503,0.0836,0.258,1.5,3.29,4.03,9.81,11,13,9.14,3.66,0.206,high
080902,0.0145,0.0242,0.0755,0.472,1.03,1.22,4.28,4.93,5.53,3.52,1.29,0.0602,medium
080919,0.0538,0.0891,0.269,1.4,2.76,3.24,7.91,8.74,9.9,7.03,3.03,0.213,high
080924,0.061,0.102,0.316,1.86,3.87,4.5,12.7,14.4,15.7,11,4.56,0.251,low
080930,0.00591,0.00987,0.0308,0.188,0.394,0.457,1.47,1.74,2.03,1.36,0.526,0.0246,low
080945,0.0371,0.0618,0.192,1.16,2.48,2.97,8.16,8.98,10.1,7.23,2.88,0.153,high
080958,0.0202,0.0337,0.105,0.655,1.43,1.72,5.97,6.68,7.6,4.85,1.79,0.0841,medium
080961,0.136,0.224,0.67,3.43,6.84,7.8,18.7,20.2,23.2,17.1,7.37,0.531,high
080977,0.0596,0.0993,0.309,1.88,4.08,5.02,15,16.9,18.5,12.5,4.86,0.247,high
080983,0.0563,0.0938,0.29,1.69,3.48,4.08,11.4,12.6,14.1,9.99,4.08,0.231,high
080996,0.00808,0.0135,0.0421,0.257,0.54,0.637,2.05,2.44,2.79,1.85,0.716,0.0337,medium
081000,0.0156,0.026,0.0813,0.502,1.1,1.34,4.39,5.16,5.62,3.63,1.36,0.0649,high
081017,0.03,0.0499,0.156,0.979,2.27,2.8,8.1,9.3,11.4,7.6,2.68,0.125,high
081022,0.0671,0.112,0.344,1.96,3.96,4.64,12.2,13.5,14.9,10.8,4.58,0.273,high
081038,0.0146,0.0244,0.0762,0.47,1.01,1.22,3.9,4.45,5.1,3.36,1.26,0.0607,medium
081043,0.015,0.025,0.0781,0.483,1.04,1.25,4.09,4.61,5.34,3.47,1.3,0.0623,medium
081056,0.0374,0.0623,0.195,1.22,2.73,3.24,8.97,10,12.3,8.61,3.17,0.155,high
081069,0.0303,0.0504,0.157,0.955,2.13,2.53,7.3,8.13,9.47,6.45,2.43,0.125,high
081075,0.347,0.567,1.61,7.07,12.7,14.2,27.7,29.4,32.4,25.9,13.1,1.27,high
081081,0.0865,0.144,0.443,2.55,5.27,6.14,15.1,16.3,18.6,13.8,5.83,0.352,high
081094,0.0152,0.0253,0.0791,0.486,1.05,1.28,4.23,5.04,5.51,3.53,1.33,0.0632,medium
081108,0.205,0.34,1.03,5.53,10.7,11.9,24.6,26.8,29.8,23.5,11.3,0.82,high
081115,0.0234,0.0391,0.122,0.727,1.54,1.85,5.72,6.55,7.13,4.75,1.88,0.097,high
081120,0.1,0.167,0.509,2.75,5.39,6.3,14.6,16.2,17.2,12.9,5.99,0.405,high
081136,0.0857,0.142,0.435,2.4,4.75,5.47,13.7,15,16.4,12.2,5.36,0.345,high
081141,0.0339,0.0564,0.176,1.09,2.4,2.92,8.91,10.1,11.5,7.68,2.87,0.141,high
081154,0.0923,0.153,0.478,2.89,6.28,7.36,18,19.7,23.3,17.5,7.03,0.38,high
081167,0.0323,0.053900000000000003,0.168,1.03,2.23,2.72,8.38,9.75,10.6,7.06,2.73,0.134,high
081173,0.0226,0.0377,0.118,0.719,1.56,1.89,5.91,6.91,7.48,4.95,1.9,0.0938,medium
081189,0.0425,0.0707,0.222,1.41,3.31,3.91,11.4,12.8,15.9,10.9,3.85,0.176,high
081192,0.0605,0.101,0.311,1.79,3.65,4.28,10.5,11.4,12.5,9.39,4.07,0.247,high
081206,0.0916,0.152,0.461,2.44,4.76,5.46,13.4,14.4,15.8,11.7,5.26,0.366,high
081213,0.146,0.24,0.711,3.52,6.94,7.85,17,18.5,21.3,16.2,7.28,0.563,high
081228,0.0374,0.0621,0.19,1.04,2.07,2.41,6.41,7.1,8.06,5.61,2.36,0.151,high
081234,0.0483,0.0802,0.247,1.41,2.96,3.53,8.58,9.53,11.1,7.97,3.28,0.197,high
081249,0.0216,0.036,0.113,0.717,1.63,1.96,5.99,6.74,8.37,5.56,1.94,0.0898,high
081252,0.0113,0.0188,0.0591,0.379,0.872,1.05,3.27,3.72,4.74,3.1,1.05,0.0471,high
081265,0.0305,0.0507,0.159,1.01,2.38,2.82,8.34,9.39,11.7,7.95,2.78,0.127,high
081271,0.0521,0.0868,0.27,1.62,3.41,4.02,11.6,12.8,14.3,10,3.99,0.215,high
081287,0.032,0.0534,0.166,1.01,2.14,2.53,8.18,9.14,10.2,6.78,2.62,0.133,medium
081290,0.0253,0.0423,0.132,0.799,1.71,2.06,6.62,7.64,8.33,5.47,2.11,0.105,medium
081304,0.0113,0.0189,0.0592,0.369,0.801,0.948,3.3,3.85,4.37,2.75,1.01,0.0472,low
081311,0.0347,0.0579,0.18,1.09,2.32,2.85,8.53,9.96,10.7,7.2,2.86,0.144,medium
081326,0.00979,0.0163,0.0511,0.316,0.677,0.801,2.72,3.18,3.62,2.3,0.862,0.0408,medium
081332,0.0114,0.019,0.0593,0.365,0.773,0.93,3.03,3.46,3.99,2.62,0.991,0.0473,low
081347,0.0202,0.0337,0.105,0.651,1.43,1.74,5.97,6.64,7.49,4.76,1.77,0.084,high
081350,0.0599,0.0998,0.312,1.93,4.32,5.1,14.6,16.1,19.2,13.3,4.97,0.248,high
081363,0.0269,0.0448,0.14,0.882,2.02,2.39,6.91,7.72,9.45,6.49,2.34,0.112,high
081379,0.0304,0.0507,0.157,0.933,1.97,2.42,7.45,8.48,9.23,6.1,2.42,0.126,high
081385,0.0449,0.0749,0.232,1.35,2.8,3.29,9.94,11,12.3,8.32,3.38,0.185,high
081398,0.0332,0.0553,0.17,0.98,2.05,2.41,7.62,8.46,9.53,6.35,2.47,0.135,high
081402,0.146,0.243,0.738,3.92,7.48,8.47,19.1,20.7,22.3,17.2,8.18,0.585,high
081419,0.0222,0.0369,0.113,0.626,1.26,1.46,4.33,4.94,5.48,3.69,1.49,0.0895,high
081424,0.0114,0.019,0.0594,0.362,0.766,0.901,2.95,3.49,3.97,2.61,1.01,0.0475,low
081430,0.0131,0.0219,0.0686,0.428,0.93,1.12,3.7,4.2,4.82,3.15,1.15,0.0547,high
081445,0.0503,0.0839,0.261,1.55,3.23,3.78,11.2,13,14.3,9.79,3.99,0.208,high
081458,0.0703,0.115,0.332,1.59,3.07,3.59,8.9,9.8,11.5,8.17,3.42,0.264,high
081461,0.0437,0.0726,0.224,1.3,2.8,3.39,9.31,10.4,12.3,8.25,3.19,0.179,medium
081477,0.0614,0.102,0.309,1.67,3.37,3.96,10.7,11.8,13.2,9.29,3.84,0.245,high
081483,0.0636,0.105,0.321,1.73,3.55,4.23,10.2,11.3,13.4,9.38,3.9,0.255,high
081496,0.0159,0.0266,0.0831,0.513,1.12,1.35,4.45,5.28,5.71,3.69,1.39,0.0663,medium
081509,0.0174,0.029,0.0906,0.557,1.21,1.5,4.83,5.72,6.18,4,1.52,0.0724,medium
081516,0.0146,0.0244,0.0762,0.471,1.03,1.24,4.2,4.93,5.42,3.46,1.29,0.0608,medium
081521,0.012,0.02,0.0625,0.391,0.852,1.03,3.54,4.02,4.69,2.97,1.07,0.0499,medium
081537,0.0442,0.0736,0.23,1.44,3.29,3.9,11.4,12.7,15.1,10.4,3.78,0.183,high
081542,0.0129,0.0216,0.0674,0.417,0.906,1.1,3.36,3.75,4.32,2.91,1.09,0.0537,medium
081555,0.0993,0.164,0.497,2.66,5.22,5.87,13.5,15,17,12.7,5.67,0.395,high
081568,0.15,0.248,0.751,3.91,7.56,8.64,18.8,20.1,22.5,17.4,8.06,0.595,high
081574,0.0947,0.157,0.484,2.74,5.71,6.8,16,17.6,20.1,14.9,6.29,0.385,high
081580,0.0186,0.0309,0.0968,0.608,1.38,1.71,5.36,6.14,7.42,4.78,1.67,0.0773,high
081593,0.0483,0.0806,0.251,1.54,3.34,3.98,11.2,12.3,14.4,10,3.86,0.2,high
081607,0.016,0.0267,0.0832,0.51,1.11,1.34,4.36,5.18,5.59,3.63,1.38,0.0664,low
081614,0.0451,0.0749,0.231,1.33,2.72,3.18,8.08,8.86,9.85,7.21,3.06,0.184,high
081629,0.0222,0.037,0.116,0.711,1.54,1.84,5.61,6.24,7.08,4.82,1.83,0.0921,high
081635,0.0672,0.112,0.346,2.04,4.26,4.87,12.4,13.9,16,11.5,4.78,0.275,high
081640,0.0212,0.0354,0.11,0.679,1.47,1.78,5.41,6.05,6.97,4.69,1.76,0.0881,medium
081653,0.0337,0.0561,0.175,1.05,2.23,2.64,7.63,8.46,9.56,6.66,2.62,0.139,high
081666,0.00958,0.016,0.0499,0.304,0.645,0.772,2.51,2.98,3.34,2.19,0.845,0.0399,low
081672,0.0154,0.0256,0.0801,0.505,1.13,1.36,4.29,4.8,5.78,3.79,1.35,0.0638,high
081688,0.0105,0.0175,0.0546,0.339,0.724,0.868,2.92,3.27,3.87,2.46,0.914,0.0436,medium
081691,0.0121,0.0201,0.0628,0.397,0.949,1.2,3.42,3.98,4.89,3.22,1.12,0.0503,high
081705,0.00802,0.0134,0.0419,0.261,0.564,0.685,2.3,2.65,3.03,1.96,0.719,0.0334,medium
081712,0.0242,0.0404,0.126,0.766,1.64,1.95,6.09,7.07,7.73,5.14,2,0.101,medium
081727,0.217,0.36,1.12,6.54,14.2,16.3,36.1,39.2,45,35.2,15.2,0.887,high
081748,0.112,0.186,0.576,3.32,6.74,7.91,17.9,19.2,20.8,16.5,7.44,0.458,low
081751,0.0229,0.0382,0.119,0.734,1.58,1.86,6.12,7.07,7.89,5.15,1.95,0.095,medium
081764,0.00628,0.0105,0.0328,0.204,0.438,0.53,1.78,2.06,2.39,1.54,0.565,0.0262,medium
081770,0.0178,0.0298,0.0929,0.568,1.22,1.46,4.84,5.75,6.35,4.08,1.56,0.0742,medium
081786,0.0261,0.0436,0.136,0.844,1.82,2.18,6.97,7.9,8.94,6,2.25,0.108,medium
081799,0.0443,0.0736,0.227,1.32,2.73,3.2,9.42,10.3,11.6,7.96,3.19,0.181,high
081803,0.012,0.0199,0.0626,0.403,0.933,1.13,3.62,4.14,5.31,3.41,1.13,0.0499,high
081810,0.0191,0.0318,0.0993,0.623,1.42,1.69,5.29,5.9,7.14,4.68,1.65,0.0791,high
081825,0.0824,0.137,0.423,2.43,4.97,5.78,16,17.5,19.5,13.9,5.78,0.336,high
081831,0.146,0.244,0.75,4.2,8.44,9.93,23.4,26,27.5,20.8,9.48,0.596,high
081846,0.0322,0.0536,0.166,0.993,2.12,2.55,7.06,7.9,9.16,6.29,2.46,0.133,high
081859,0.0101,0.0168,0.0526,0.329,0.713,0.865,2.92,3.36,3.86,2.49,0.905,0.042,medium
081878,0.0248,0.0413,0.129,0.797,1.75,2.11,6.4,7.12,8.39,5.6,2.08,0.103,high
081884,0.0315,0.0526,0.164,1.01,2.17,2.57,8.3,9.67,10.7,7.01,2.68,0.131,medium
081897,0.00838,0.014,0.0437,0.272,0.585,0.708,2.38,2.75,3.12,2.02,0.747,0.0349,low
081901,0.00628,0.0105,0.0327,0.2,0.416,0.473,1.53,1.81,2.14,1.44,0.558,0.0262,low
081918,0.0208,0.0348,0.108,0.66,1.41,1.66,5.35,6.06,6.77,4.5,1.71,0.0863,high
081923,0.0734,0.122,0.366,1.91,3.65,4.15,10,11.1,12,8.96,4.06,0.29,high
081939,0.0233,0.0389,0.121,0.744,1.65,1.98,5.9,6.76,7.84,5.18,1.92,0.0965,high
081944,0.00697,0.0116,0.0365,0.236,0.547,0.661,2.15,2.46,3.19,2.03,0.667,0.029,high
081957,0.0145,0.0242,0.0757,0.464,1,1.23,4.04,4.83,5.23,3.36,1.28,0.0604,low
081960,0.0619,0.103,0.322,1.98,4.36,5.31,15,16.8,19.5,13.5,5.1,0.257,high
081976,0.117,0.195,0.596,3.3,6.83,7.92,18.2,19.9,22.5,16.8,7.28,0.474,high
081982,0.0691,0.115,0.354,2.02,4.18,4.96,12.7,13.9,15.1,11,4.69,0.282,high
081995,0.0146,0.0244,0.0762,0.471,1.03,1.25,4.16,4.9,5.34,3.43,1.28,0.0608,medium
082009,0.0319,0.053,0.163,0.906,1.87,2.23,5.02,5.58,6.45,4.72,2.03,0.13,high
082016,0.0147,0.0246,0.0768,0.474,1.03,1.27,4.19,4.98,5.39,3.46,1.3,0.0613,medium
082021,0.297,0.472,1.22,4.29,7.09,7.98,16,17.4,18.8,14.3,7.43,0.966,high
082037,0.179,0.294,0.846,3.87,7.19,8.21,18,19.8,21.9,16.5,7.66,0.67,high
082042,0.0208,0.0347,0.108,0.676,1.59,2,5.69,6.58,7.98,5.22,1.86,0.0867,high
082055,0.0898,0.149,0.458,2.58,5.35,6.29,15,16.5,19.1,14.1,5.91,0.364,high
082068,0.345,0.548,1.39,4.39,6.78,7.46,13.3,14.2,15.5,12.3,6.92,1.1,high
082074,0.666,1.04,2.49,7.56,12,13.4,26.1,27.9,29.5,23.1,12.6,1.99,high
082080,0.246,0.374,0.857,2.84,4.93,5.62,12.6,13.8,15.3,11.3,5.35,0.692,high
082093,0.0416,0.0692,0.215,1.3,2.81,3.3,8.24,9.08,10.9,7.97,3.16,0.171,high
082107,0.135,0.222,0.658,3.11,5.66,6.42,14.9,16.1,17.6,12.9,6.19,0.521,high
082114,0.108,0.178,0.542,2.92,5.88,6.89,15.1,16.6,18.8,14.3,6.34,0.431,high
082129,0.0162,0.027,0.0844,0.523,1.14,1.36,4.71,5.43,6.07,3.85,1.43,0.0673,medium
082135,0.0425,0.0708,0.22,1.31,2.74,3.21,9.43,10.5,11.6,8.11,3.25,0.175,high
082140,0.0228,0.038,0.119,0.765,1.83,2.16,6.51,7.39,9.24,6.19,2.14,0.0951,high
082153,0.132,0.221,0.682,3.93,8.04,9.44,22.9,25.5,26.8,20.3,9.08,0.543,low
082166,0.00962,0.0161,0.0501,0.306,0.651,0.787,2.58,3.07,3.42,2.22,0.853,0.0401,low
082172,0.0145,0.0242,0.0759,0.483,1.12,1.39,4.42,5.12,6.41,4.08,1.36,0.0606,high
082188,0.0305,0.0508,0.159,0.978,2.1,2.48,7.69,8.73,9.68,6.64,2.54,0.126,high
082191,0.0459,0.0763,0.239,1.49,3.46,4.04,10.8,12.1,14.6,10.4,3.92,0.19,high
082205,0.0313,0.0522,0.163,0.98,2.09,2.54,7.66,8.76,9.52,6.43,2.55,0.13,high
082212,0.0284,0.0472,0.147,0.914,2.06,2.5,6.97,7.88,9.48,6.57,2.41,0.118,high
082227,0.094,0.154,0.45,2.11,3.91,4.49,10.3,11.2,12.4,9.24,4.25,0.356,high
082233,0.0245,0.0409,0.127,0.77,1.64,1.95,6.29,6.99,7.88,5.2,2.01,0.101,high
082248,0.0172,0.0287,0.0896,0.551,1.19,1.44,4.89,5.49,6.18,3.96,1.49,0.0715,medium
082251,0.0133,0.0221,0.0692,0.428,0.937,1.14,3.82,4.55,4.94,3.15,1.17,0.0552,low
082264,0.00995,0.0166,0.0519,0.324,0.696,0.842,2.86,3.28,3.8,2.43,0.892,0.0414,medium
082270,0.0107,0.0179,0.0559,0.348,0.755,0.914,3.04,3.38,3.98,2.56,0.935,0.0447,medium
082286,0.0115,0.0193,0.0601,0.368,0.78,0.939,2.9,3.3,3.74,2.53,0.974,0.0479,low
082299,0.0103,0.0171,0.0536,0.334,0.722,0.868,2.96,3.43,3.85,2.49,0.917,0.0427,medium
082303,0.0245,0.0408,0.128,0.816,1.93,2.28,6.79,7.67,9.58,6.47,2.25,0.102,high
082310,0.0112,0.0186,0.0581,0.368,0.847,1.05,3.31,3.76,4.68,2.97,1.02,0.0465,high
082325,0.0359,0.0598,0.186,1.15,2.47,2.97,8.94,10,11.5,7.79,2.95,0.149,medium
082331,0.0487,0.081,0.248,1.39,2.86,3.51,10.2,11.8,12.6,8.55,3.48,0.197,high
082346,0.153,0.246,0.658,2.5,4.35,5,11.5,12.6,13.5,9.83,4.74,0.521,high
082359,0.386,0.636,1.87,8.61,15.5,17.3,32.2,34.6,37.6,30.3,15.7,1.48,high
082362,0.0258,0.0431,0.135,0.832,1.8,2.17,6.76,7.6,8.76,5.83,2.17,0.107,medium
082378,0.152,0.251,0.742,3.57,6.61,7.68,17.2,19.3,20.3,15.2,7.33,0.589,high
082384,0.0662,0.11,0.339,1.94,4.02,4.74,11.7,12.8,14.9,10.8,4.48,0.269,high
082397,0.023,0.0383,0.119,0.725,1.56,1.87,6.15,6.84,7.71,5,1.91,0.0952,medium
082401,0.0187,0.0311,0.0971,0.602,1.33,1.63,5.06,5.67,6.53,4.32,1.59,0.0775,high
082418,0.0167,0.0279,0.087,0.537,1.17,1.45,4.8,5.58,6.13,3.93,1.48,0.0695,medium
082423,0.056,0.0928,0.281,1.5,2.96,3.43,9.44,10.4,11.7,8.19,3.39,0.222,high
082439,0.0138,0.0231,0.0722,0.448,0.986,1.2,4.02,4.76,5.18,3.31,1.22,0.0576,low
082444,0.027,0.0449,0.14,0.872,1.97,2.43,7.13,8.09,9.65,6.47,2.33,0.112,high
082457,0.0207,0.0344,0.108,0.687,1.57,1.88,5.64,6.38,8.04,5.38,1.87,0.0859,high
082460,0.0225,0.0376,0.117,0.717,1.55,1.9,6.06,7,7.64,5.03,1.93,0.0936,high
082476,0.0276,0.046,0.142,0.82,1.7,2.02,6.03,6.92,7.5,5.03,2.03,0.113,medium
082482,0.0523,0.087,0.269,1.57,3.28,3.86,10.5,11.4,13,9.18,3.75,0.214,high
082495,0.0185,0.0308,0.0959,0.582,1.24,1.49,4.28,4.75,5.41,3.75,1.46,0.0764,medium
082508,0.00928,0.0155,0.0484,0.303,0.659,0.798,2.69,3.07,3.54,2.28,0.828,0.0386,medium
082515,0.028,0.0466,0.144,0.857,1.81,2.16,5.77,6.37,7.53,5.3,2.08,0.115,high
082520,0.00842,0.014,0.0441,0.283,0.649,0.795,2.63,3.02,3.81,2.38,0.794,0.0351,high
082536,0.0288,0.048,0.15,0.912,1.96,2.44,7.6,8.9,9.57,6.32,2.45,0.12,medium
082541,0.0315,0.0526,0.164,0.988,2.12,2.61,7.89,9.16,9.94,6.64,2.6,0.131,medium
082554,0.016,0.0267,0.0836,0.519,1.13,1.35,4.62,5.43,6.03,3.83,1.42,0.0667,medium
