h3,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,confidence
87394406affffff,0.021,0.0351,0.11,0.674,1.46,1.76,6.03,6.81,7.63,4.9,1.85,0.0875,high
87394406bffffff,0.121,0.201,0.603,3,5.55,6.3,14.1,15.2,16.3,12.5,6.12,0.478,high
87394406cffffff,0.0429,0.0716,0.222,1.32,2.77,3.31,9.74,11.1,11.9,8.2,3.33,0.177,high
87394406dffffff,0.0188,0.0315,0.0984,0.606,1.32,1.6,5.42,6.3,6.89,4.42,1.66,0.0785,high
87394406effffff,0.0387,0.0645,0.2,1.18,2.46,2.93,8.69,9.82,10.7,7.28,2.96,0.16,medium
873944070ffffff,0.116,0.192,0.591,3.26,6.39,7.32,17.8,19.2,20.8,15.6,7.23,0.47,high
873944071ffffff,0.0418,0.0697,0.218,1.33,2.84,3.37,11,12.2,13.7,9.1,3.54,0.174,high
873944072ffffff,0.025,0.0418,0.131,0.804,1.74,2.07,7.15,8.01,9.06,5.82,2.2,0.104,high
873944073ffffff,0.117,0.194,0.591,3.09,5.84,6.61,15.3,16.5,17.9,13.5,6.47,0.469,high
873944074ffffff,0.0285,0.0476,0.149,0.915,1.97,2.35,8.05,9.01,10.2,6.57,2.49,0.119,high
873944075ffffff,0.0413,0.0688,0.213,1.24,2.54,2.97,8.76,9.68,10.8,7.36,3.05,0.17,high
873944076ffffff,0.0304,0.0507,0.158,0.968,2.08,2.47,8.21,9.17,10.3,6.75,2.59,0.126,high
873944080ffffff,0.0733,0.122,0.37,1.99,3.91,4.5,11.7,12.6,14,10,4.37,0.294,high
873944081ffffff,0.0487,0.0811,0.252,1.52,3.21,3.79,11.1,12.1,13.5,9.44,3.77,0.201,high
873944082ffffff,0.0979,0.163,0.504,2.93,6.03,7.02,18.2,19.6,21.5,15.9,6.83,0.401,high
873944083ffffff,0.058,0.0966,0.301,1.82,3.87,4.58,13.3,14.5,16.1,11.4,4.55,0.24,high
873944084ffffff,0.0207,0.0345,0.108,0.675,1.48,1.77,5.96,6.62,7.53,4.94,1.82,0.0861,high
873944085ffffff,0.025,0.0418,0.131,0.818,1.79,2.14,7.24,8.08,9.2,6.02,2.21,0.104,high
873944086ffffff,0.0606,0.101,0.314,1.88,3.96,4.67,13.4,14.5,16.1,11.4,4.62,0.25,high
873944088ffffff,0.0144,0.0241,0.0754,0.474,1.05,1.27,4.49,5,5.77,3.64,1.3,0.0601,high
873944089ffffff,0.0992,0.164,0.482,2.25,4.07,4.6,10.9,11.8,13.1,9.46,4.42,0.381,high
87394408affffff,0.0562,0.0936,0.29,1.71,3.57,4.18,11.2,12.1,13.3,9.7,4.08,0.231,high
87394408bffffff,0.0136,0.0228,0.0712,0.449,0.997,1.2,4.28,4.77,5.52,3.46,1.24,0.0568,high
87394408cffffff,0.0219,0.0366,0.114,0.719,1.59,1.91,6.62,7.33,8.39,5.4,1.96,0.0913,high
87394408dffffff,0.0172,0.0286,0.0896,0.562,1.24,1.5,5.27,5.87,6.75,4.28,1.54,0.0715,high
87394408effffff,0.0169,0.0281,0.0881,0.554,1.23,1.48,5.19,5.75,6.58,4.22,1.52,0.0702,high
873944090ffffff,0.0238,0.0397,0.124,0.779,1.71,2.05,6.85,7.63,8.73,5.74,2.1,0.099,high
873944091ffffff,0.0304,0.0508,0.159,0.987,2.16,2.59,8.5,9.34,10.6,7.04,2.63,0.126,high
873944092ffffff,0.199,0.33,0.993,4.97,9.15,10.2,20.8,22.2,23.9,19.1,9.61,0.786,high
873944093ffffff,0.0197,0.0329,0.103,0.648,1.43,1.72,5.91,6.55,7.49,4.85,1.76,0.0822,high
873944094ffffff,0.0202,0.0336,0.105,0.663,1.46,1.76,5.98,6.7,7.71,5.01,1.8,0.0839,high
873944095ffffff,0.0764,0.127,0.394,2.3,4.75,5.53,14.7,15.9,17.6,12.8,5.41,0.313,high
873944096ffffff,0.0179,0.0299,0.0935,0.589,1.3,1.56,5.33,5.97,6.87,4.46,1.6,0.0745,high
873944098ffffff,0.0186,0.031,0.097,0.605,1.33,1.59,5.33,5.87,6.67,4.38,1.62,0.0773,high
873944099ffffff,0.0194,0.0324,0.101,0.636,1.4,1.68,5.77,6.38,7.27,4.72,1.72,0.0809,high
87394409affffff,0.032,0.0533,0.166,1.03,2.26,2.71,8.71,9.59,10.8,7.27,2.73,0.133,high
87394409bffffff,0.0314,0.0523,0.163,0.982,2.09,2.48,7.54,8.25,9.28,6.33,2.48,0.13,high
87394409cffffff,0.0889,0.148,0.457,2.63,5.37,6.23,15.6,16.7,18.2,13.7,6.02,0.363,high
87394409dffffff,0.189,0.314,0.949,4.89,9.23,10.4,22.3,23.7,25.4,20.2,9.86,0.752,high
87394409effffff,0.0165,0.0276,0.0864,0.544,1.2,1.45,5.1,5.65,6.47,4.14,1.49,0.0689,high
8739440a0ffffff,0.0683,0.114,0.352,2.05,4.2,4.89,13.2,14.4,16,11.6,4.87,0.28,high
8739440a1ffffff,0.0716,0.119,0.367,2.09,4.25,4.93,13.7,15.1,16.9,11.9,4.94,0.291,high
8739440a2ffffff,0.14,0.232,0.714,3.98,7.87,9.01,21.3,23,25,19.2,8.75,0.567,high
8739440a3ffffff,0.059,0.0982,0.303,1.76,3.62,4.22,11.8,13,14.5,10.2,4.23,0.241,high
8739440a4ffffff,0.0468,0.078,0.243,1.49,3.18,3.77,11.3,12.5,14,9.77,3.82,0.194,high
8739440a5ffffff,0.0885,0.147,0.454,2.59,5.23,6.05,16,17.4,19.3,14,6,0.361,high
8739440a6ffffff,0.0381,0.0635,0.198,1.23,2.64,3.14,9.65,10.8,12.2,8.38,3.21,0.158,high
8739440a8ffffff,0.0289,0.0482,0.151,0.94,2.05,2.44,8.1,9.06,10.3,6.8,2.53,0.12,high
8739440a9ffffff,0.0201,0.0335,0.105,0.654,1.43,1.71,5.93,6.64,7.53,4.85,1.79,0.0836,high
8739440aaffffff,0.0281,0.0469,0.147,0.915,1.99,2.38,7.89,8.8,10,6.61,2.46,0.117,high
8739440abffffff,0.02,0.0333,0.104,0.65,1.42,1.7,5.88,6.58,7.48,4.83,1.78,0.0831,high
8739440acffffff,0.0808,0.134,0.413,2.34,4.74,5.51,15.3,16.8,18.7,13.2,5.51,0.328,high
8739440adffffff,0.0368,0.0613,0.192,1.19,2.58,3.07,10.1,11.2,12.7,8.45,3.18,0.153,high
8739440aeffffff,0.0326,0.0544,0.17,1.06,2.3,2.75,9.09,10.2,11.5,7.64,2.85,0.135,high
8739440b0ffffff,0.053,0.0883,0.274,1.64,3.46,4.05,11.2,12.3,13.7,9.84,4.01,0.218,high
8739440b1ffffff,0.0213,0.0356,0.111,0.693,1.51,1.81,5.91,6.56,7.46,4.96,1.84,0.0886,high
8739440b2ffffff,0.0246,0.0411,0.129,0.808,1.77,2.12,7.08,7.91,9.06,5.96,2.17,0.102,high
8739440b3ffffff,0.0217,0.0363,0.113,0.715,1.58,1.89,6.39,7.15,8.22,5.36,1.94,0.0904,high
8739440b4ffffff,0.0279,0.0466,0.146,0.914,1.99,2.39,7.81,8.84,10,6.68,2.46,0.116,high
8739440b5ffffff,0.192,0.319,0.962,4.85,8.86,9.9,19.6,21,22.5,18.2,9.32,0.762,high
8739440b6ffffff,0.104,0.173,0.514,2.52,4.67,5.29,12.4,13.5,14.9,11,5.09,0.406,high
8739440c0ffffff,0.0171,0.0285,0.0891,0.553,1.21,1.45,5.1,5.72,6.52,4.12,1.52,0.0711,high
8739440c1ffffff,0.0178,0.0297,0.0929,0.577,1.26,1.52,5.3,5.94,6.78,4.29,1.59,0.0741,high
8739440c2ffffff,0.0228,0.038,0.118,0.708,1.51,1.79,5.29,5.83,6.67,4.49,1.77,0.094,high
8739440c3ffffff,0.0131,0.0218,0.0682,0.428,0.948,1.15,4.06,4.56,5.31,3.3,1.18,0.0544,high
8739440c4ffffff,0.0579,0.0964,0.298,1.71,3.5,4.09,11.3,12.4,13.7,9.67,4.09,0.237,high
8739440c5ffffff,0.0198,0.033,0.103,0.64,1.4,1.68,5.83,6.53,7.44,4.73,1.75,0.0823,high
8739440c6ffffff,0.017,0.0283,0.0885,0.549,1.2,1.44,5,5.6,6.38,4.06,1.5,0.0706,high
8739440c8ffffff,0.176,0.29,0.853,3.96,7.18,8.12,18.1,19.4,21,15.9,7.78,0.675,high
8739440c9ffffff,0.302,0.493,1.39,5.93,10.4,11.7,23.7,25.1,26.7,21.3,11.1,1.1,high
8739440caffffff,0.367,0.598,1.68,6.99,12.2,13.7,29.3,31.4,34.8,26.6,13,1.33,high
8739440cbffffff,0.319,0.52,1.45,5.77,9.77,10.9,21.5,23,25.5,19.9,10.2,1.15,high
8739440ccffffff,0.03,0.0501,0.156,0.924,1.94,2.3,6.97,7.69,8.62,5.81,2.33,0.124,high
8739440cdffffff,0.149,0.247,0.749,3.89,7.4,8.46,19.4,20.8,22.5,17,8.11,0.594,high
8739440ceffffff,0.0218,0.0364,0.114,0.707,1.55,1.86,6.32,7.06,8.1,5.19,1.91,0.0907,high
8739440d0ffffff,0.0113,0.0188,0.0588,0.37,0.823,0.994,3.55,3.96,4.58,2.87,1.02,0.0469,high
8739440d1ffffff,0.0802,0.133,0.411,2.32,4.68,5.42,12.7,13.7,15.1,11.4,5.13,0.327,high
8739440d2ffffff,0.0719,0.12,0.372,2.23,4.7,5.54,15.3,16.5,18.3,13.2,5.44,0.296,high
8739440d3ffffff,0.0142,0.0237,0.0741,0.461,1.02,1.22,4.02,4.46,5.16,3.34,1.23,0.0591,high
8739440d4ffffff,0.0283,0.0471,0.147,0.889,1.91,2.27,7,7.69,8.73,5.85,2.26,0.117,high
8739440d5ffffff,0.0121,0.0202,0.0632,0.398,0.886,1.07,3.8,4.25,4.94,3.09,1.1,0.0504,high
8739440d6ffffff,0.247,0.41,1.24,6.39,12,13.6,28.6,30.2,32.5,25.8,12.8,0.983,high
8739440d8ffffff,0.0128,0.0213,0.0667,0.42,0.939,1.14,3.96,4.44,5.22,3.26,1.15,0.0532,high
8739440d9ffffff,0.0296,0.0494,0.154,0.956,2.1,2.52,7.99,8.83,10.2,6.74,2.52,0.123,high
8739440daffffff,0.0111,0.0185,0.0579,0.365,0.816,0.988,3.45,3.86,4.54,2.83,1,0.0462,high
8739440dbffffff,0.023,0.0383,0.119,0.701,1.47,1.74,4.86,5.32,6.06,4.17,1.69,0.0946,high
8739440dcffffff,0.0314,0.0523,0.162,0.956,2,2.36,6.32,6.87,7.75,5.5,2.28,0.129,high
8739440ddffffff,0.0212,0.0354,0.11,0.681,1.49,1.79,5.73,6.35,7.37,4.8,1.79,0.088,high
8739440deffffff,0.0698,0.116,0.36,2.14,4.51,5.32,14.3,15.5,17.4,12.5,5.16,0.287,high
8739440e0ffffff,0.0203,0.0339,0.106,0.658,1.43,1.72,5.99,6.71,7.64,4.86,1.8,0.0846,medium
8739440e1ffffff,0.0207,0.0346,0.108,0.671,1.46,1.76,6.12,6.85,7.8,4.96,1.84,0.0863,medium
8739440e2ffffff,0.0175,0.0292,0.0912,0.568,1.24,1.49,5.2,5.82,6.63,4.23,1.56,0.0727,high
8739440e3ffffff,0.0193,0.0322,0.101,0.625,1.36,1.64,5.72,6.4,7.29,4.63,1.71,0.0804,high
8739440e4ffffff,0.0205,0.0343,0.107,0.667,1.46,1.74,6.07,6.79,7.71,4.95,1.83,0.0855,medium
8739440e5ffffff,0.019,0.0317,0.099,0.614,1.34,1.61,5.63,6.31,7.19,4.56,1.69,0.079,medium
8739440e6ffffff,0.0188,0.0314,0.0982,0.613,1.34,1.6,5.58,6.24,7.08,4.55,1.68,0.0784,medium
8739440e8ffffff,0.0222,0.0371,0.116,0.719,1.57,1.88,6.52,7.29,8.29,5.29,1.97,0.0925,high
8739440e9ffffff,0.0564,0.0938,0.289,1.63,3.31,3.86,10.3,11.2,12.3,8.75,3.79,0.23,high
8739440eaffffff,0.0284,0.0473,0.148,0.908,1.96,2.35,7.75,8.62,9.73,6.37,2.43,0.118,high
8739440ebffffff,0.25,0.411,1.19,5.09,8.57,9.46,18.6,19.8,21.3,16.6,8.93,0.941,high
8739440ecffffff,0.0226,0.0378,0.118,0.731,1.59,1.92,6.61,7.39,8.41,5.37,2,0.0942,high
8739440edffffff,0.0339,0.0565,0.176,1.06,2.27,2.7,8.45,9.34,10.5,7,2.75,0.14,high
8739440eeffffff,0.0179,0.0299,0.0934,0.58,1.27,1.52,5.33,5.98,6.82,4.31,1.59,0.0745,high
8739440f0ffffff,0.0155,0.0259,0.081,0.506,1.11,1.32,4.64,5.2,5.91,3.78,1.39,0.0646,high
8739440f1ffffff,0.034,0.0566,0.176,1.06,2.24,2.63,7.89,8.67,9.66,6.67,2.68,0.14,high
8739440f2ffffff,0.0184,0.0307,0.0962,0.603,1.33,1.59,5.58,6.23,7.13,4.54,1.65,0.0767,high
8739440f3ffffff,0.0159,0.0265,0.0829,0.518,1.14,1.36,4.78,5.34,6.09,3.89,1.42,0.0661,high
8739440f4ffffff,0.0213,0.0356,0.111,0.694,1.51,1.81,6.26,6.99,7.93,5.12,1.89,0.0888,high
8739440f5ffffff,0.0169,0.0281,0.088,0.549,1.2,1.43,5.03,5.63,6.4,4.1,1.51,0.0702,high
8739440f6ffffff,0.0183,0.0306,0.0956,0.597,1.3,1.56,5.44,6.09,6.92,4.44,1.63,0.0763,high
873944100ffffff,0.0195,0.0325,0.102,0.636,1.38,1.63,5.58,6.45,7.21,4.67,1.71,0.081,high
873944101ffffff,0.196,0.325,0.971,4.79,8.75,9.73,20.7,22.4,23.9,18.8,9.37,0.769,high
873944102ffffff,0.0124,0.0207,0.0647,0.406,0.887,1.05,3.68,4.29,4.81,3.07,1.11,0.0515,medium
873944103ffffff,0.0151,0.0251,0.0786,0.492,1.07,1.27,4.45,5.12,5.74,3.67,1.34,0.0627,medium
873944104ffffff,0.0123,0.0206,0.0644,0.405,0.883,1.05,3.66,4.26,4.79,3.05,1.1,0.0513,high
873944105ffffff,0.0181,0.0303,0.0948,0.593,1.29,1.53,5.32,6.13,6.87,4.41,1.61,0.0756,high
873944106ffffff,0.0148,0.0248,0.0775,0.486,1.06,1.25,4.34,5.03,5.65,3.63,1.32,0.0617,high
873944108ffffff,0.0109,0.0182,0.0571,0.358,0.781,0.924,3.3,3.8,4.27,2.7,0.979,0.0455,high
873944109ffffff,0.0108,0.0181,0.0566,0.354,0.773,0.916,3.26,3.76,4.23,2.67,0.97,0.0451,high
87394410affffff,0.0122,0.0203,0.0636,0.398,0.869,1.03,3.66,4.22,4.73,3,1.09,0.0507,high
87394410bffffff,0.0135,0.0225,0.0705,0.441,0.963,1.14,4.04,4.65,5.22,3.31,1.2,0.0562,high
87394410cffffff,0.018,0.0301,0.0942,0.587,1.28,1.51,5.21,5.98,6.68,4.31,1.59,0.0751,high
87394410dffffff,0.0137,0.0228,0.0713,0.447,0.974,1.15,4.08,4.71,5.28,3.35,1.22,0.0569,medium
87394410effffff,0.0166,0.0277,0.0866,0.541,1.18,1.39,4.86,5.58,6.25,4.01,1.47,0.069,high
873944110ffffff,0.013,0.0216,0.0677,0.426,0.93,1.11,3.82,4.43,4.96,3.21,1.16,0.054,medium
873944111ffffff,0.015,0.0251,0.0786,0.494,1.08,1.28,4.4,5.11,5.72,3.7,1.34,0.0626,medium
873944112ffffff,0.0132,0.022,0.0689,0.434,0.947,1.13,3.87,4.49,5.02,3.26,1.18,0.0549,medium
873944113ffffff,0.0155,0.0259,0.0809,0.509,1.11,1.32,4.52,5.23,5.84,3.81,1.38,0.0645,high
873944114ffffff,0.012,0.0201,0.0628,0.395,0.861,1.02,3.58,4.17,4.68,2.98,1.08,0.05,high
873944115ffffff,0.0132,0.022,0.0689,0.433,0.945,1.12,3.91,4.55,5.12,3.26,1.18,0.055,high
873944116ffffff,0.0264,0.0441,0.137,0.831,1.75,2.06,6.13,6.96,7.67,5.31,2.09,0.109,high
873944118ffffff,0.0144,0.0241,0.0753,0.472,1.03,1.23,4.28,4.89,5.51,3.54,1.29,0.0601,high
873944119ffffff,0.0156,0.026,0.0814,0.508,1.1,1.31,4.48,5.1,5.73,3.72,1.37,0.0649,high
87394411affffff,0.0146,0.0243,0.0761,0.478,1.04,1.24,4.3,4.93,5.55,3.58,1.3,0.0607,high
87394411bffffff,0.0415,0.0691,0.213,1.22,2.46,2.84,7.56,8.36,9.16,6.6,2.82,0.169,high
87394411cffffff,0.0135,0.0226,0.0706,0.443,0.967,1.15,4.02,4.65,5.23,3.34,1.21,0.0563,medium
87394411dffffff,0.129,0.213,0.644,3.27,6.05,6.74,14.6,15.9,17,13.2,6.5,0.51,high
87394411effffff,0.0166,0.0277,0.0866,0.545,1.19,1.42,4.82,5.58,6.23,4.07,1.48,0.069,medium
873944120ffffff,0.0156,0.026,0.0813,0.509,1.11,1.31,4.5,5.23,5.87,3.77,1.38,0.0648,medium
873944121ffffff,0.0176,0.0294,0.092,0.574,1.25,1.48,5.1,5.93,6.67,4.26,1.56,0.0733,medium
873944122ffffff,0.0139,0.0232,0.0724,0.455,0.993,1.18,4.1,4.77,5.36,3.42,1.24,0.0577,medium
873944123ffffff,0.017,0.0284,0.0887,0.557,1.21,1.43,4.97,5.77,6.47,4.16,1.51,0.0707,medium
873944124ffffff,0.0121,0.0202,0.0633,0.395,0.857,1.02,3.54,4.13,4.69,2.95,1.08,0.0505,medium
873944125ffffff,0.0148,0.0247,0.0773,0.482,1.04,1.24,4.28,4.99,5.66,3.58,1.31,0.0616,medium
